,건설관리(국공유지/점용/노점),건축허가(인허가/불법건축),경찰서(교통/치안),공원녹지(공원/녹지/가로수),교통행정(주차/단속),도로관리(도로/보도/시설물),도로교통공단,민원총괄(이첩/조정),보건소 건강증진(금연/흡연),보건소 위생관리(식품/음식점/해충),시청/광역(교통/버스/광역협의),재난안전(위험/안전조치),청소행정(폐기물/불법투기),하수/치수(배수/침수/하수),한국산업안전보건공단,한국승강기안전공단,한국해양교통안전공단,해양환경공단,환경관리(소음/진동/악취/빛공해)
건설관리(국공유지/점용/노점),6,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
건축허가(인허가/불법건축),1,6,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
경찰서(교통/치안),2,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
공원녹지(공원/녹지/가로수),0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
교통행정(주차/단속),0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
도로관리(도로/보도/시설물),0,0,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
도로교통공단,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민원총괄(이첩/조정),1,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
보건소 건강증진(금연/흡연),0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
보건소 위생관리(식품/음식점/해충),2,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
시청/광역(교통/버스/광역협의),0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
재난안전(위험/안전조치),0,0,0,9,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
청소행정(폐기물/불법투기),0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
하수/치수(배수/침수/하수),0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
한국산업안전보건공단,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
한국승강기안전공단,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
한국해양교통안전공단,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해양환경공단,0,0,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
환경관리(소음/진동/악취/빛공해),0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
