t1,t2,direct_coverage,direct_acc,fallback_rate
0.6,0.05,0.04,0.625,0.94
0.6,0.1,0.04,0.625,0.94
0.6,0.15,0.04,0.625,0.94
0.6,0.2,0.04,0.625,0.94
0.6,0.25,0.04,0.625,0.94
0.65,0.05,0.02,0.75,0.94
0.65,0.1,0.02,0.75,0.94
0.65,0.15,0.02,0.75,0.94
0.65,0.2,0.02,0.75,0.94
0.65,0.25,0.02,0.75,0.94
0.7,0.05,0.0,,0.94
0.7,0.1,0.0,,0.94
0.7,0.15,0.0,,0.94
0.7,0.2,0.0,,0.94
0.7,0.25,0.0,,0.94
0.72,0.05,0.0,,0.94
0.72,0.1,0.0,,0.94
0.72,0.15,0.0,,0.94
0.72,0.2,0.0,,0.94
0.72,0.25,0.0,,0.94
0.75,0.05,0.0,,0.94
0.75,0.1,0.0,,0.94
0.75,0.15,0.0,,0.94
0.75,0.2,0.0,,0.94
0.75,0.25,0.0,,0.94
